"totalTime","numInputGranules","totalGranuleSize","harmonyGdalAdapter","harmonyServiceExample","harmonyNetcdfToZarr","swotReproject","varSubsetter","sdsMaskfill","trajectorySubsetter","podaacConcise","podaacL2Subsetter","giovanniAdapter"
49.624,48,47.9316864013672,0,0,1,0,0,0,0,0,0,0
12.007,2,16.9348630905151,0,0,0,0,0,0,0,1,0,0
9.198,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
11.551,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
12.453,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
13.101,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
5.702,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
17.858,1,2.24,0,0,0,0,1,0,0,0,0,0
14.009,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
8.384,1,2.24,0,0,0,0,1,0,0,0,0,0
6.798,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
17.236,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
11.887,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
20.687,2,16.9348630905151,0,0,0,0,0,0,0,1,0,0
11.268,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
11.717,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
22.824,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
21.66,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
14.454,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
14.62,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
6.589,1,2.24,0,0,0,0,1,0,0,0,0,0
9.425,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
8.267,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
26.49,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
20.847,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
7.515,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
7.849,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
15.996,1,2.24,0,0,0,0,1,0,0,0,0,0
9.309,1,2.24,0,0,0,0,1,0,0,0,0,0
82.151,50,25.485445022583,0,1,0,0,0,0,0,0,0,0
9.299,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
12.384,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
9.18,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
32.182,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
40.185,50,1065.02231025696,0,0,0,0,0,0,0,0,1,0
30.194,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
7.529,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
9.475,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
15.56,1,2.24,0,0,0,0,1,0,0,0,0,0
7.492,1,2.24,0,0,0,0,1,0,0,0,0,0
33.798,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
14.85,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
6.639,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
36.334,2,16.9348630905151,0,0,0,0,0,0,0,1,0,0
10.156,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
5.955,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
12.459,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
8.194,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
9.522,1,2.24,0,0,0,0,1,0,0,0,0,0
37.793,2,16.9348630905151,0,0,0,0,0,0,0,1,0,0
9.045,1,2.24,0,0,0,0,1,0,0,0,0,0
27.91,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
13.565,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
11.683,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
20.477,2,16.9348630905151,0,0,0,0,0,0,0,1,0,0
11.629,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
17.538,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
7.039,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
45.997,2,16.9348630905151,0,0,0,0,0,0,0,1,0,0
9.494,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
7.18,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
7.92,1,2.24,0,0,0,0,1,0,0,0,0,0
5.754,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
9.504,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
7.743,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
14.227,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
8.515,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
8.25,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
27.076,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
23.969,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
5.769,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
8.187,1,2.24,0,0,0,0,1,0,0,0,0,0
16.968,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
6.591,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
11.635,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
15.433,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
24.453,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
5.644,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
15.795,2,16.9348630905151,0,0,0,0,0,0,0,1,0,0
8.097,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
8.08,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
29.164,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
12.246,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
4.452,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
29.09,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
26.663,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
8.162,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
6.943,1,2.24,0,0,0,0,1,0,0,0,0,0
41.569,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
30.999,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
5.407,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
20.624,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
33.767,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
10.733,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
22.675,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
3.455,1,2.24,0,0,0,0,1,0,0,0,0,0
7.595,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
8.089,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
6.437,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
5.224,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
9.768,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
12.236,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
11.572,1,2.24,0,0,0,0,1,0,0,0,0,0
8.586,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
9.701,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
6.351,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
19.907,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
10.97,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
29.359,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
